sample_id,event_group_id,split,text_fragment,title,entity_norm,found_risk_keywords,source,published_year,published_month,alert_flag,risk_type_4cls
ml_000120,eg_000113,train,"Полиция проверит ""Траст"" В апреле этого года СМП-банк получил от государства ссуду в 96,8 млрд руб. на 10 лет под 0,51% на санацию Мособлбанка. Альфа-банк в этом году стал санатором Балтийского банка, получив от АСВ кредит в размере 57,4 млрд руб. В настоящее время банк продолжает работать и выполнять обязательства перед клиентами, рассказали «Газете.","Полиция проверит ""Траст""",Альфа-Банк,мошенничество; злоумышленники; хищение,buriy,2015,4,0,no_risk
ml_000121,eg_000114,train,"""ВТБ страхованию"" грозит штраф до 500 тыс. рублей за ненадлежащую рекламу МОСКВА, 21 мая. /ТАСС/.","""ВТБ страхованию"" грозит штраф до 500 тыс. рублей за ненадлежащую рекламу",ВТБ,штраф,ods_tass,2019,5,1,regulatory_risk
ml_000122,eg_000115,test,"Обзор прессы за 23 июля 2015 года Baring Vostok уходит от «Восточного» Как стало известно “Ъ”, основной акционер банка «Восточный» — инвестфонд Baring Vostok — ведет с участниками рынка активные переговоры о продаже своей доли в банке (67%). В числе потенциальных покупателей источники “Ъ” называют ВТБ, Газпромбанк и Альфа-банк. Впрочем, данные организации в силу своих размеров традиционно попадают в число интересантов в сделках по приобретению банков, сами они интереса к «Восточному» не подтверждают.",Обзор прессы за 23 июля 2015 года,Альфа-Банк,не работает,buriy,2015,7,0,no_risk
ml_000123,eg_000116,train,"""Газпром нефть"" считает решение суда ЕС о санкциях необоснованным ""Газпром нефть"" считает необоснованным решение Европейского суда общей юрисдикции в Люксембурге, который отказался удовлетворить иск компании об аннулировании санкций Евросоюза, и будет принимать решение о дальнейших действиях после детального анализа. Об этом ТАСС сообщили в ""Газпром нефти"". n""Компания считает решение суда необоснованным и несправедливым, будет принимать решение о последующих действиях после детального анализа судебного акта"", - отметили в компании. n13 сентября Европейский суд общей юрисдикции отказал Сбербанку, ВТБ и Внешэкономбанку, а также ""Роснефти"", ""Газпром нефти"" и ""Алмаз-Антею"" в аннулировании санкций Евросоюза. nОграничительные меры, которые оспаривались, были введены в июле 2014 года в связи с воссоединением Крыма с Россией и событиями на востоке Украины.","""Газпром нефть"" считает решение суда ЕС о санкциях необоснованным",ВТБ,иск; суд,ods_tass,2018,9,0,no_risk
ml_000124,eg_000117,train,"«Аэрофлоту» достанется 40% маршрутов «Трансаэро» Между тем, «Трансаэро» 26 октября лишится права совершать полеты, а 25 ноября будет рассмотрен иск о банкротстве «Трансаэро», поданный Альфа-банком. Аналогичный иск подал также Сбербанк (рассмотрение отклонено по техническим причинам).",«Аэрофлоту» достанется 40% маршрутов «Трансаэро»,Сбербанк,иск,buriy,2015,10,0,no_risk
ml_000125,eg_000118,train,"«Траст» оказался слабым орешком Исходя из этого можно сказать, что на Северо-Западе живут вкладчики, которые держат в банке около 20 млрд рублей. Для сравнения: объем вкладов Балтийского банка, который сейчас за 57,4 млрд рублей санирует Альфа-банк, составляет 60 млрд рублей, при этом большинство вкладчиков — жители Петербурга. При такой сумме вкладов в «Балтийском» обслуживаются 2,6 млн лиц.",«Траст» оказался слабым орешком,Альфа-Банк,недоступна,taiga_fontanka,2014,12,0,no_risk
ml_000126,eg_000119,valid,"Совладельца ""Банана-мамы"" объявили в розыск за мошенничество Однако банк отказался взять на баланс магазины, сочтя это бизнес нерентабельным. Касательно сути обвинений в мошенничестве, следствие и Альфа-банк утверждают, что Яковлев выступил поручителем при получении кредитов, зная о том, что компания не готова гарантировать их возврат. Сам бизнесмен пояснил ""Ведомостям"", что его вынудили дать поручительство в рамках готовящейся сделки по переуступке прав владения торговой сетью.","Совладельца ""Банана-мамы"" объявили в розыск за мошенничество",Альфа-Банк,мошенничество,lenta,2011,8,0,no_risk
ml_000127,eg_000120,valid,"Песков заявил об остуствии сроков ввода ответны мер на санкции ЕС и США Ограничения также касаются экспорта в Россию товаров и технологий двойного назначения, которые могут быть использованы, как в гражданской, так и в оборонной промышленности, технологий и оборудования, необходимых для освоения шельфовых месторождений, а также доступа к рынкам капитала. Под санкциями оказались, в частности Сбербанк, ВТБ, Газпромбанк, ВЭБ и Россельхозбанк, а также «Роснефть», «Транснефть», «Газпром нефть», «Уралвагонзавод», Объединенная авиационная корпорация и холдинг «Оборонпром». Гражданам стран ЕС и европейским компаниям запрещено совершать операции с их ценными бумагами сроком обращения свыше 30 дней.",Песков заявил об остуствии сроков ввода ответны мер на санкции ЕС и США,Газпромбанк,санкции; ограничения,buriy,2014,9,0,no_risk
ml_000128,eg_000121,train,"Альфа-банк устранил сбой в работе пластиковых карт Альфа-банк сообщил об устранении технических неисправностей в работе систем пластиковых карт и интернет-сервисов, говорится в сообщении банка. «Уважаемые клиенты!",Альфа-банк устранил сбой в работе пластиковых карт,Альфа-Банк,сбой,buriy,2015,6,1,operational_risk
ml_000129,eg_000122,test,"Взломан сайт ""Сбербанка"": у 100.000 владельцев смартфонов похищены 2 млрд рублей Неизвестные хакеры взломали сайт российского Сбербанка и похитили со счетов 100. 000 клиентов, владельцев устройств Android, использовавших приложение ""Сбербанк Онлайн"" для смартфонов и планшетов, в общей сложности более двух миллиардов рублей. Об этом сообщает в понедельник, 27 июля, новостное издание FlashNord со ссылкой на источник в МВД России.","Взломан сайт ""Сбербанка"": у 100.000 владельцев смартфонов похищены 2 млрд рублей",Сбербанк,взломали; хакеры,buriy,2015,7,1,cyber_risk
ml_000130,eg_000123,train,"РБК: банки запрещают сотрудникам фотографировать экраны рабочих компьютеров Правило должно помочь бороться с мошенничеством и обезопасить данные клиентов от утечек, сообщаетnРБКnсо ссылкой на представителей крупных банков. nТак, о том, что сотрудникам запрещено фотографировать экран компьютера на рабочем месте, РБК сообщил председатель правления банка ""Юникредит"" Михаил Алексеев, а также представители ""ФК Открытие"" и ВТБ. nДиректор департамента информационной безопасности ""ФК Открытие"" Владимир Журавлев рассказал РБК, что фотографии данных клиентов могут быть использованы для изготовления поддельных документов, а также в мошеннических схемах.",РБК: банки запрещают сотрудникам фотографировать экраны рабочих компьютеров,Банк Открытие,данные клиентов,ods_tass,2019,6,0,no_risk
ml_000131,eg_000124,valid,"Обманывавших банкоматы фальшивомонетчиков вычислили по камерам видеонаблюдения Задержанным грозит до 15 лет лишения свободы. На минувшей неделе несколько крупных российских банков, в числе которых были Сбербанк и Альфа-банк, приостановили прием пятитысячных купюр через банкоматы. Эти меры в кредитных учреждениях объяснили участившимися случаями подделки банкнот соответствующего номинала.",Обманывавших банкоматы фальшивомонетчиков вычислили по камерам видеонаблюдения,Альфа-Банк,злоумышленники,lenta,2013,10,1,operational_risk
ml_000132,eg_000125,train,"Постановление об экономической амнистии внесли в Госдуму План амнистии, разработанный президентской администрацией, уже вызвал критику. С одной стороны, глава ВТБ Андрей Костин заявил, что безнаказанность для представителей большого бизнеса недопустима. С другой, адвокат бывшего руководителя «МЕНАТЕПа» Платона Лебедева Владимир Краснов полагает, что «гора родила мышь» и амнистия не будет иметь значительного масштаба.",Постановление об экономической амнистии внесли в Госдуму,ВТБ,мошенничество,lenta,2013,6,0,no_risk
ml_000133,eg_000126,train,"В Сбербанке произошел очередной сбой с банковскими картами Представитель Сбербанка объяснил возникшие проблемы следствием сбоя, произошедшего в пятницу, 6 июля, отметив, что ""система вроде бы восстановлена, но она продолжает быть уязвимой"". Напомним, вечером 6 июля Сбербанк зафиксировал сбой в обслуживании всех карт банка на территории РФ и за рубежом, который продолжался три часа.",В Сбербанке произошел очередной сбой с банковскими картами,Сбербанк,сбой,taiga_fontanka,2012,7,1,operational_risk
ml_000134,eg_000127,train,"Рыжков сравнил Немцова с Лермонтовым М. АНДРЕЕВА: Банки опасаются за своих клиентов. В. РЫЖКОВ: Там даже «Сбербанк» не работает. М. АНДРЕЕВА: И Греф сказал, что не пойдёт туда, потому что это отразится на клиентах.",Рыжков сравнил Немцова с Лермонтовым,Сбербанк,не работает,buriy,2015,7,0,no_risk
ml_000135,eg_000128,train,"Изображают жертву: Мошенники изобрели новый способ кражи денег с карт россиян Большинство банков из топ-30 не ответили на запрос «Известий». В ВТБ сообщили, что в кредитной организации о таком методе не знают, хотя «подобные способы всегда имеют место быть».— В подобных случаях карту лучше не передавать. Через 60 секунд ее «съест» банкомат.",Изображают жертву: Мошенники изобрели новый способ кражи денег с карт россиян,ВТБ,мошенники,telegram_contest,2019,11,0,no_risk
ml_000136,eg_000129,test,"Online-заголовок При этом практически сразу кредиты перестали обслуживаться: «заемщиком не было внесено ни одного платежа», подчеркнул Муравьев. «Промсвязьбанк неоднократно предлагал различные варианты погашения кредита, — рассказал Сергей Муравьев. — К сожалению, Александр отверг все наши предложения по вариантам погашения кредита, и банк был вынужден защищать свои интересы всеми возможными законными способами, в том числе через суд».",Online-заголовок,Промсвязьбанк,недоступен,buriy,2015,10,0,no_risk
ml_000137,eg_000021,train,"Полиция поймала обманывавших банкоматы фальшивомонетчиков Теперь же ситуация с оснащением банкоматов будет исправлена, и пятитысячные банкноты из оборота не уйдут: банки возобновят прием таких купюр в течение двух недель. На минувшей неделе сразу несколько крупных российских банков, в том числе Сбербанк и Альфа-банк, приостановили прием пятитысячных купюр через свои банкоматы. В Сбербанке пояснили, что заменяют программное обеспечение, нужное для защиты от фальшивых банкнот номиналом в пять тысяч рублей.",Полиция поймала обманывавших банкоматы фальшивомонетчиков,Альфа-Банк,злоумышленники,lenta,2013,10,1,operational_risk
ml_000138,eg_000016,train,"Российские банки запустят идентификацию клиентов по селфи Они не исключают, что мошенники смогут подобрать фотографии с похожими лицами. 10 июля в одном из офисов Сбербанк установил банкомат с технологией распознавания лиц. В конце мая зампред правления Сбербанка Станислав Кузнецов сообщил, что финансовая организация тестирует роботов, которые будут идентифицировать клиентов по лицу, узнавать и запоминать их в нескольких ракурсах.",Российские банки запустят идентификацию клиентов по селфи,Сбербанк,мошенники,lenta,2017,7,0,no_risk
ml_000139,eg_000130,train,"Qiwi-кошелек свяжут с картами Visa Qiwi давно работает с Visa - в частности, компании совместно выпускают виртуальные карты, а также одну - QIWI Visa Plastic - пластиковую. Основное отличие старых карт от нового проекта в том, что QIWI Visa Plastic эмитирует Киви Банк, а новые карты смогут эмитировать любые банки в СНГ. Qiwi - крупнейшая сеть платежных терминалов в России.",Qiwi-кошелек свяжут с картами Visa,Qiwi,клиентская база,lenta,2012,11,0,no_risk
ml_000140,eg_000131,train,"Число заходов россиян на сайты мошенников увеличилось в 10 раз В ведомстве предупредили, что злоумышленники могут предложить купить несуществующие товары или услуги, предложить провести на дому бесплатное тестирование или вакцинацию от коронавируса, пообещать помощь в получении пособий или в проведении процедуры банкротства, а также предложить работу. «Ридус» также писал о том, что крупные российские банки ВТБ и Промсвязьбанк зафиксировали в первой половине апреля рост активности мошенников, пытающихся похитить средства клиентов, оценив его в 15% по сравнению с аналогичным периодом марта. Кроме того, статистические данные, полученные «Лабораторией Касперского» свидетельствуют о том, что во время объявленного в России режима самоизоляции выросла доля телефонных звонков с подозрением на мошенничество.",Число заходов россиян на сайты мошенников увеличилось в 10 раз,ВТБ,мошенники; мошенничество; злоумышленники,telegram_contest,2020,5,0,no_risk
ml_000141,eg_000132,train,"Сотрудницы «Сбербанка» в Новом Уренгое осуждены за хищение у вкладчиков 20 млн рублей В Новом Уренгое осуждены бывшие сотрудницы «Сбербанка» Оксана Емельянова и Мария Сухорученко, которые похитили со счетов вкладчиков более 20 млн рублей, сообщила прокуратура ЯНАО. Емельянова была заместителем начальника отдела обслуживания и продаж Новоуренгойского отделения ОАО «Сбербанк России», Сухорученко – руководителем дополнительного офиса другого новоуренгойского отделения банка. Они имели доступ к счетам вкладчиков, находили те счета, на которых было больше 3 млн рублей, а затем на протяжении 2013 года по подложным заявлениям от якобы вкладчиков переводили их деньги на счета третьих лиц.",Сотрудницы «Сбербанка» в Новом Уренгое осуждены за хищение у вкладчиков 20 млн рублей,Сбербанк,хищение,buriy,2015,6,1,cyber_risk
ml_000142,eg_000133,train,"Новый способ вывода денег с банковских карт применяют мошенники Собеседник из службы информационной безопасности одной из региональных кредитных организаций на условиях анонимности сообщил «Известиям»: если в прошлом году в банке не было зафиксировано ни одного случая кражи денег через сard2сard, то в 2019-м это происходит до четырех раз в месяц. В ВТБ считают, что мошенники одинаково активно используют для вывода средств как виртуальный, так и физический «пластик». В МКБ в III квартале зафиксировали незначительное увеличение числа случаев мошенничеств с использованием card2card-переводов на виртуальные карты, рассказал «Известиям» директор департамента информационной безопасности банка Вячеслав Касимов.",Новый способ вывода денег с банковских карт применяют мошенники,ВТБ,мошенники,telegram_contest,2019,11,0,no_risk
ml_000143,eg_000134,valid,"Дайджест FT и WSJ от 9 октября: на следующей неделе Apple может представить новые iPad и компьютеры Mac Таким образом стартап хочет начать зарабатывать, а рекламодатели хотят получить доступ к его молодой аудитории читать на FT. com35 Потребительский рынок S&P Capital IQ создала рейтинг финансовой стабильности 44 европейских футбольных клубов. Согласно ее расчетам, рейтинг возглавили Ajax, Arsenal и Celtic читать на FT. com36 «ВТБ капитал» находится в продвинутой стадии переговоров с Roberto Cavalli и может приобрести 70% модного дома читать на FT. com37 Гендиректор GAP Гленн Мерфи в следующем году покинет свой пост читать на WSJ. com38 читать на FT. com39 Недвижимость Легкие правила получения визы при покупке недвижимости в южных странах Европы привлекают китайских инвесторов читать на FT. com40 Менеджмент Французские компании хотят добиться реформы трудового законодательства, чтобы преодолеть барьеры сдерживающие их рост. Согласно данным Medef, в стране в два с половиной раза больше компаний с 49 сотрудниками, чем с 50.",Дайджест FT и WSJ от 9 октября: на следующей неделе Apple может представить новые iPad и компьютеры Mac,ВТБ,хакеры,buriy,2014,10,0,no_risk
ml_000144,eg_000135,train,"Росбанк потребовал банкротства пяти ""дочек"" ""МИЭЛЬ"" Арбитражный суд Москвы зарегистрировал заявления Росбанка о несостоятельности (банкротстве) пяти компаний, входящих в инвестиционно-девелоперский холдинг ""МИЭЛЬ"". Росбанк требует ввести процедуру наблюдения в ЗАО ""Барвиха-Вилладж"", ЗАО ""Миэль-Недвижимость"", ЗАО ""Золотая Миля"", ООО ""Миэль ЗС"" и ЗАО ""Миэль-Инвестиции в загородную недвижимость"".","Росбанк потребовал банкротства пяти ""дочек"" ""МИЭЛЬ""",Росбанк,суд,lenta,2011,9,0,no_risk
ml_000145,eg_000136,train,"""НОВАТЭК-Челябинск"" подал еще два иска к структурам ""Мечела"" на 632 млн рублей В одном из исков структура энергетической компании требовала признать ЧМК банкротом и взыскать с комбината 539 млн рублей, но в итоге стороны урегулировали эти разногласия: иск был отозван после погашения задолженности. nДолг ""Мечела"" на 13 января, по данным компании, составлял 6,44 млрд долларов, из них около 70% приходится на Газпромбанк, Сбербанк и ВТБ. nС весны этого года ""Мечел"" активизировал переговоры с банками о реструктуризации долгов.","""НОВАТЭК-Челябинск"" подал еще два иска к структурам ""Мечела"" на 632 млн рублей",Сбербанк,иск,ods_tass,2015,2,0,no_risk
ml_000146,eg_000137,train,"Райффайзенбанк сообщил о сбое В Райффайзенбанке произошел технический сбой, который повлиял на работу сервисов. Об этом в своем Twitter сообщила пресс-служба кредитной организации.",Райффайзенбанк сообщил о сбое,Райффайзенбанк,сбой; технический сбой,lenta,2018,4,1,operational_risk
ml_000147,eg_000138,valid,"США предложили Китаю поддержать санкции против России При этом он заявил, что сожалеет о том, что дело дошло до санкций, и высказал пожелание, чтобы Москва и Вашингтон вернулись к «более конструктивным отношениям». В конце июля Соединенные Штаты ввели секторальные санкции против российских компаний «Новатэк», «Роснефть», Внешэкономбанк, Газпромбанк, «Банк Москвы», ВТБ, Россельхозбанк из-за политики Москвы в отношении Киева. Активы этих компаний не будут заморожены, но американским компаниям и гражданам отныне запрещено инвестировать в новые акции и облигации этих структур.",США предложили Китаю поддержать санкции против России,Россельхозбанк,санкции,lenta,2014,8,1,regulatory_risk
ml_000148,eg_000139,train,"Счетная палата начала подводить итоги докапитализации банков через ОФЗ К настоящему времени отчет об использовании полученных средств поступил только от одного банка, указала в пресс-релизе на своем сайте Счетная палата. Это Совкомбанк, который первым заключил договор субординированного займа (27 апреля), он получил ОФЗ в капитал на сумму 6,3 млрд руб. В отчете Счетной палаты говорится, что Совкомбанк увеличил кредитование приоритетных отраслей в среднем на 12% прежде всего за счет кредитов на строительство, а также малому и среднему бизнесу.",Счетная палата начала подводить итоги докапитализации банков через ОФЗ,Совкомбанк,,buriy,2015,7,0,no_risk
ml_000149,eg_000140,valid,"Песков: власти не будут вмешиваться в спор Альфа-банка с Уралвагонзаводом В свою очередь, замглавы Уралвагонзавода Алексей Жарич заявил о том, что арест денежных средств дочернего предприятия «ЧТЗ-Уралтрак» незаконный. Альфа-банк расценивает заявление Уралвагонзавода о незаконности исков как попытку давления на суд.",Песков: власти не будут вмешиваться в спор Альфа-банка с Уралвагонзаводом,Альфа-Банк,суд,buriy,2015,5,0,no_risk
ml_000150,eg_000141,train,"В Смольном отказываются называть штрафы за срыв сроков сдачи ЗСД Напомним, что южный и северный участки ЗСД были построены за счет бюджета и обошлись в 47 и 36 млрд рублей соответственно. На центральный государство выделит 51 млрд, еще 60 млрд дадут банки: 25 – Внешэкономбанк, 10 – Евразийский банк развития, 10 – Европейский банк реконструкции и развития, 8,5 – ВТБ, 8,5 – Газпромбанк. Наконец, «Магистраль Северной столицы» потратит 9 млрд собственных средств.",В Смольном отказываются называть штрафы за срыв сроков сдачи ЗСД,Газпромбанк,,taiga_fontanka,2015,10,0,no_risk
ml_000151,eg_000142,test,"Mastercard увеличила лимит по покупкам без ПИН-кода на фоне пандемии Промсвязьбанк (ПСБ) и банк «Русский стандарт» настроят свои эквайринговые сети, чтобы проводить бесконтактные операции до 5 тыс. руб. без введения ПИН-кода, рассказали их представители. Россельхозбанк увеличит лимит до 3 тыс. руб.: терминалы настроит постепенно, а карты в ближайшее время. Райффайзенбанк также последует рекомендациям.",Mastercard увеличила лимит по покупкам без ПИН-кода на фоне пандемии,Россельхозбанк,злоумышленники,telegram_contest,2020,5,0,no_risk
ml_000152,eg_000143,valid,"Сбербанк: хакеры начали использовать искусственный интеллект для атак на банки МОСКВА, 8 июня. /ТАСС/.",Сбербанк: хакеры начали использовать искусственный интеллект для атак на банки,Сбербанк,хакеры,ods_tass,2018,6,0,no_risk
ml_000153,eg_000144,train,"Сбербанк: санкции спасли компании и банки России от закредитованности МОСКВА, 3 мар — РИА Новости/Прайм. Санкции, введенные в отношении России странами Запада в 2014 году из-за ситуации на Украине, оказали позитивное влияние на российскую экономику, прежде всего на нефтегазовый и финансовый секторы, полагает главный экономист и управляющий директор ""Сбербанка КИБ"" Евгений Гавриленков.",Сбербанк: санкции спасли компании и банки России от закредитованности,Сбербанк,санкции,buriy,2015,3,0,no_risk
ml_000154,eg_000145,test,"Прибыль ВТБ по МСФО сократилась в I квартале на 14% Чистая прибыль ВТБ по МСФО сократилась в I квартале на 14% в годовом выражении до 39,8 миллиарда руб. На прибыль повлияли троекратный (до 45 миллиардов руб.) рост расходов на резервы и обесценение (до 38 миллиардов руб.) ряда непрофильных активов.",Прибыль ВТБ по МСФО сократилась в I квартале на 14%,ВТБ,,telegram_contest,2020,5,0,no_risk
ml_000155,eg_000133,train,"Новый способ вывода денег с банковских карт применяют мошенники Однако в пресс-службе «Яндекс.Деньги» подчеркнули, что содействуют следствию в раскрытии подобных дел в рамках законных процедур. Судебная практика показывает, что в ряде случаев при участии кредитной организации деньги пострадавшему удается вернуть.«Известия» отправили запросы наиболее популярным операторам card2card-сервисов: Промсвязьбанк, «Тинькофф», ВТБ, Альфа-банк, РНКО «Золотая корона», «Открытие», МКБ. Исполнительный директор процессингового центра «КартСтандарт» (относится к РНКО «Золотая корона») Майя Глотова рассказала, что центр выявляет подозрительную активность и предотвращает мошенничество, связываясь с банками, которые, в свою очередь, предотвращают перевод.",Новый способ вывода денег с банковских карт применяют мошенники,Промсвязьбанк,мошенники; мошенничество,telegram_contest,2019,11,0,no_risk
ml_000156,eg_000146,train,"Югорский банк открыл кредитную линию одному из крупнейших предприятий России ПАО «Ханты-Мансийский банк Открытие» стал победителем открытых торгов на право предоставления заемных средств ОАО «Югорский лесопромышленный холдинг». «Для предприятия будет открыта кредитная линия на сумму 200 млн рублей», — отметил старший вице-президент — директор по корпоративному бизнесу финансовой организации Виталий Мосунов.",Югорский банк открыл кредитную линию одному из крупнейших предприятий России,Банк Открытие,,buriy,2015,3,0,no_risk
ml_000157,eg_000147,train,"ЦИК РФ пересмотрит программное обеспечение для ГАС ""Выборы"" из-за угрозы вмешательства После атаки на интернет-страницу одного из комитетов Госдумы было принято решениеnусилить защитуnвсех думских сайтов. nНападкам хакеров подверглись сайты СМИ (временно были недоступны страницы ""Первого канала"", интернет-изданий Lenta. ru и Russia Today, ""Российской газеты"", ""Парламентской газеты"", агентства ""Интерфакс"") иnбанковn(в частности, ВТБ24 и Альфа-банк).","ЦИК РФ пересмотрит программное обеспечение для ГАС ""Выборы"" из-за угрозы вмешательства",Альфа-Банк,хакеры,ods_tass,2014,6,0,no_risk
ml_000158,eg_000148,train,"Россельхозбанк позвал Генпрокуратуру бороться с должниками Россельхозбанк (РСХБ) создал совместную рабочую группу с Генеральной прокуратурой, рассказал «Ведомостям» предправления госбанка Дмитрий Патрушев ( Полную версию интервью с ним читайте здесь → ). При рассмотрении этой группой определенных вопросов недобросовестные заемщики очень быстро принимают решение, что им надо где-то найти деньги и вернуть их в банк», объяснил он преимущества такого метода.",Россельхозбанк позвал Генпрокуратуру бороться с должниками,Россельхозбанк,мошенничество,buriy,2014,9,0,no_risk
ml_000159,eg_000149,train,"Что Центробанк проверяет в Балтинвестбанке Результатом проверки станет, скорее всего, решение о санации Балтинвестбанка. Среди претендентов — «Санкт-Петербург», Альфа-банк и МФК. О том, что на роль санатора претендуют банки «Санкт-Петербург» и Альфа-банк, «Фонтанке» подтвердили в кредитных организациях.",Что Центробанк проверяет в Балтинвестбанке,Альфа-Банк,сбой,taiga_fontanka,2015,11,0,no_risk
ml_000160,eg_000150,train,"ВТБ подал новый иск к ""Мечелу"" на 1,9 млрд рублей Соответчиками в иске указаны ОАО «Холдинговая компания «Якутуголь», ОАО «Коршуновский ГОК» и ОАО «Угольная компания «Южный Кузбасс». Третьим лицом к делу привлечен банк ВТБ 24. 18 мая арбитражный суд Москвы зарегистрировал апелляционную жалобу металлургической компании «Мечел» на решение о взыскании с нее около 50,2 миллиарда рублей долга по кредитному договору с ВТБ от 27 декабря 2010 года.","ВТБ подал новый иск к ""Мечелу"" на 1,9 млрд рублей",ВТБ,иск; суд,buriy,2015,5,0,no_risk
ml_000161,eg_000151,train,"Пользователи пожаловались на сбой в сервисе «Сбербанк онлайн» Сбой устранили спустя несколько часов. Вечером 8 ноября 2019 года в «Сбербанк онлайн» произошёл сбой, рассказали пользователи.",Пользователи пожаловались на сбой в сервисе «Сбербанк онлайн»,Сбербанк,пожаловались; сбой,telegram_contest,2019,11,1,operational_risk
ml_000162,eg_000152,train,"ВТБ намерен подать иск к ""Трансаэро"" ЛИМА, 9 окт — РИА Новости. ВТБ намерен подать иск к авиакомпании ""Трансаэро"" после решения вопроса с уже запланированными перевозками пассажиров, сообщил в пятницу глава банка Андрей Костин.","ВТБ намерен подать иск к ""Трансаэро""",ВТБ,иск,buriy,2015,10,0,no_risk
ml_000163,eg_000153,train,"Золото как последний оплот стабильности Участниками торгов являются 50 организаций, большинство из которых банки. Например, ВТБ, РСХБ, Промсвязьбанк, Банк Москвы, «Открытие», питерский банк «Пересвет», компании «Финам», «Доходъ» и другие. Рынок драгметаллов на Московской бирже появился в октябре 2013 года и его объемы сейчас незначительные в сравнении с внебиржевым рынком, но демонстрируют постоянный рост.",Золото как последний оплот стабильности,Промсвязьбанк,мошенники,buriy,2015,3,0,no_risk
ml_000164,eg_000154,train,"В ""ВТБ 24"" произошел масштабный технический сбой В банке ""ВТБ 24"", розничной ""дочке"" госбанка ВТБ, 21 марта произошел масштабный сбой IT-системы. Как пишет газета ""Коммерсантъ"", участники рынка подсчитали, что потери финансовой организации из-за сбоя могут составить 2,5-3 миллиона рублей.","В ""ВТБ 24"" произошел масштабный технический сбой",ВТБ,сбой; технический сбой,lenta,2011,3,1,operational_risk
